Pathway,RIBOSOMAL SUBUNIT,LARGE RIBOSOMAL SUBUNIT,RIBOSOME,CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,CYTOSOLIC RIBOSOME,CYTOSOLIC SMALL RIBOSOMAL SUBUNIT,CELL SUBSTRATE JUNCTION,SMALL RIBOSOMAL SUBUNIT,MITOCHONDRIAL SMALL RIBOSOMAL SUBUNIT,MITOCHONDRIAL PROTEIN CONTAINING COMPLEX,MITOCHONDRIAL LARGE RIBOSOMAL SUBUNIT,ORGANELLAR RIBOSOME,RESPIRATORY CHAIN COMPLEX,NADH DEHYDROGENASE COMPLEX,OXIDOREDUCTASE COMPLEX,CYTOCHROME COMPLEX,PRERIBOSOME,SMALL SUBUNIT PROCESSOME,"SNO S RNA CONTAINING RIBONUCLEOPROTEIN
COMPLEX",ORGANELLE ENVELOPE LUMEN,INNER MITOCHONDRIAL MEMBRANE PROTEIN COMPLEX,PRECATALYTIC SPLICEOSOME,SPLICEOSOMAL COMPLEX,U2 TYPE PRECATALYTIC SPLICEOSOME,U2 TYPE SPLICEOSOMAL COMPLEX,CATALYTIC STEP 2 SPLICEOSOME,U12 TYPE PRECATALYTIC SPLICEOSOME,SMALL NUCLEAR RIBONUCLEOPROTEIN COMPLEX,SM LIKE PROTEIN FAMILY COMPLEX,U4 U6 SNRNP,SPLICEOSOMAL TRI SNRNP COMPLEX,ENDOCYTIC VESICLE,EARLY ENDOSOME,GOLGI APPARATUS SUBCOMPARTMENT,CELL CORTEX,PROTEIN COMPLEX INVOLVED IN CELL ADHESION,INTEGRIN COMPLEX,PLASMA MEMBRANE SIGNALING RECEPTOR COMPLEX,NUCLEOID,PROTON TRANSPORTING ATP SYNTHASE COMPLEX
MITOCHONDRIAL LARGE RIBOSOMAL SUBUNIT,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORGANELLAR RIBOSOME,0.9761904761904762,0.6190476190476191,1.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.38095238095238093,0.9761904761904762,0.6190476190476191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RESPIRATORY CHAIN COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,1.0,0.41228070175438597,0.4473684210526316,0.34210526315789475,0.0,0.0,0.0,0.07894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.19298245614035087
NADH DEHYDROGENASE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,1.0,1.0,1.0,0.02127659574468085,0.0,0.0,0.0,0.0851063829787234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXIDOREDUCTASE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.05172413793103448,0.0,0.0,0.02586206896551724,0.0,0.0,0.4396551724137931,0.4051724137931034,1.0,0.008620689655172414,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05172413793103448,0.017241379310344827,0.008620689655172414,0.008620689655172414,0.0,0.0,0.0,0.02586206896551724,0.0
CYTOCHROME COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.975,0.025,0.025,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRERIBOSOME,0.18867924528301888,0.0,0.19811320754716982,0.0,0.19811320754716982,0.18867924528301888,0.11320754716981132,0.18867924528301888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6981132075471698,0.0660377358490566,0.0,0.0,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.0,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL SUBUNIT PROCESSOME,0.2702702702702703,0.0,0.2702702702702703,0.0,0.2702702702702703,0.2702702702702703,0.16216216216216217,0.2702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0945945945945946,0.0,0.0,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.0,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SNO S RNA CONTAINING RIBONUCLEOPROTEIN
COMPLEX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22580645161290322,0.22580645161290322,1.0,0.0,0.0,0.0967741935483871,0.0967741935483871,0.06451612903225806,0.0967741935483871,0.03225806451612903,0.06451612903225806,0.0967741935483871,0.0967741935483871,0.06451612903225806,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORGANELLE ENVELOPE LUMEN,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.16,0.0,0.0,0.09,0.04,0.04,0.04,0.0,0.0,0.0,1.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.02,0.0,0.0,0.02,0.01,0.0
INNER MITOCHONDRIAL MEMBRANE PROTEIN COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20689655172413793,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0
PRECATALYTIC SPLICEOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.04285714285714286,0.0,0.0,1.0,1.0,0.7142857142857143,0.7857142857142857,0.5857142857142857,0.5,0.8,0.8,0.2571428571428571,0.4714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPLICEOSOMAL COMPLEX,0.0045662100456621,0.0045662100456621,0.0091324200913242,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045662100456621,0.0045662100456621,0.0136986301369863,0.0,0.0,0.319634703196347,1.0,0.228310502283105,0.5068493150684932,0.4931506849315068,0.1598173515981735,0.3470319634703196,0.3561643835616438,0.091324200913242,0.1735159817351598,0.0,0.0,0.0,0.0045662100456621,0.0,0.0,0.0,0.0,0.0
U2 TYPE PRECATALYTIC SPLICEOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.0,0.0,1.0,1.0,1.0,1.0,0.7,0.44,0.78,0.78,0.36,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U2 TYPE SPLICEOSOMAL COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009009009009,0.009009009009009009,0.02702702702702703,0.0,0.0,0.4954954954954955,1.0,0.45045045045045046,1.0,0.6396396396396397,0.21621621621621623,0.4954954954954955,0.4954954954954955,0.16216216216216217,0.26126126126126126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CATALYTIC STEP 2 SPLICEOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.37962962962962965,1.0,0.32407407407407407,0.6574074074074074,1.0,0.21296296296296297,0.32407407407407407,0.32407407407407407,0.09259259259259259,0.17592592592592593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U12 TYPE PRECATALYTIC SPLICEOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.0,0.0,1.0,1.0,0.6285714285714286,0.6857142857142857,0.6571428571428571,1.0,0.9428571428571428,0.9428571428571428,0.3142857142857143,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL NUCLEAR RIBONUCLEOPROTEIN COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008849557522123894,0.008849557522123894,0.02654867256637168,0.0,0.0,0.49557522123893805,0.672566371681416,0.34513274336283184,0.48672566371681414,0.30973451327433627,0.2920353982300885,1.0,1.0,0.17699115044247787,0.415929203539823,0.0,0.0,0.008849557522123894,0.0,0.0,0.0,0.0,0.0,0.0
SM LIKE PROTEIN FAMILY COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007936507936507936,0.007936507936507936,0.023809523809523808,0.0,0.0,0.4444444444444444,0.6190476190476191,0.30952380952380953,0.4365079365079365,0.2777777777777778,0.2619047619047619,0.8968253968253969,1.0,0.15873015873015872,0.373015873015873,0.0,0.0,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0
U4 U6 SNRNP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.0,0.0,0.9,1.0,0.9,0.9,0.5,0.55,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPLICEOSOMAL TRI SNRNP COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.02127659574468085,0.06382978723404255,0.0,0.0,0.7021276595744681,0.8085106382978723,0.5319148936170213,0.6170212765957447,0.40425531914893614,0.44680851063829785,1.0,1.0,0.425531914893617,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENDOCYTIC VESICLE,0.00554016620498615,0.002770083102493075,0.013850415512465374,0.002770083102493075,0.0110803324099723,0.002770083102493075,0.09695290858725762,0.002770083102493075,0.0,0.0,0.0,0.0,0.0,0.0,0.01662049861495845,0.0,0.002770083102493075,0.002770083102493075,0.0,0.002770083102493075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.23822714681440443,0.14127423822714683,0.038781163434903045,0.013850415512465374,0.008310249307479225,0.06371191135734072,0.0,0.0
EARLY ENDOSOME,0.0,0.0,0.002188183807439825,0.0,0.002188183807439825,0.0,0.045951859956236324,0.0,0.0,0.002188183807439825,0.0,0.0,0.0,0.0,0.00437636761487965,0.0,0.0,0.0,0.0,0.0087527352297593,0.002188183807439825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18818380743982493,1.0,0.1400437636761488,0.0437636761487965,0.0,0.0,0.02188183807439825,0.0,0.0
GOLGI APPARATUS SUBCOMPARTMENT,0.0,0.0,0.0,0.0,0.0,0.0,0.022332506203473945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024813895781637717,0.0,0.0,0.0,0.0,0.01240694789081886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024813895781637717,0.0024813895781637717,0.0,0.0,0.12655086848635236,0.1588089330024814,1.0,0.02481389578163772,0.0,0.0,0.0,0.0,0.0
CELL CORTEX,0.0,0.0,0.006172839506172839,0.0,0.0030864197530864196,0.0,0.17901234567901234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030864197530864196,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0,0.0030864197530864196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043209876543209874,0.06172839506172839,0.030864197530864196,1.0,0.0,0.0,0.018518518518518517,0.0,0.0
PROTEIN COMPLEX INVOLVED IN CELL ADHESION,0.0,0.0,0.0,0.0,0.0,0.0,0.38596491228070173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08771929824561403,0.0,0.0,0.0,1.0,0.5263157894736842,0.5263157894736842,0.0,0.0
INTEGRIN COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
PLASMA MEMBRANE SIGNALING RECEPTOR COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.07202216066481995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00554016620498615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06371191135734072,0.027700831024930747,0.0,0.01662049861495845,0.08310249307479224,0.08310249307479224,1.0,0.0,0.0
NUCLEOID,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.2653061224489796,0.0,0.0,0.02040816326530612,0.0,0.061224489795918366,0.0,0.0,0.0,0.0,0.02040816326530612,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02040816326530612
PROTON TRANSPORTING ATP SYNTHASE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,1.0
