Pathway,RIBOSOME,AMINOACYL TRNA BIOSYNTHESIS,SPLICEOSOME,REGULATION OF ACTIN CYTOSKELETON,"ARRHYTHMOGENIC RIGHT VENTRICULAR
CARDIOMYOPATHY ARVC",TIGHT JUNCTION,LEUKOCYTE TRANSENDOTHELIAL MIGRATION,ADHERENS JUNCTION,SYSTEMIC LUPUS ERYTHEMATOSUS,INSULIN SIGNALING PATHWAY,MTOR SIGNALING PATHWAY,PROGESTERONE MEDIATED OOCYTE MATURATION,B CELL RECEPTOR SIGNALING PATHWAY,ACUTE MYELOID LEUKEMIA,INOSITOL PHOSPHATE METABOLISM,PHOSPHATIDYLINOSITOL SIGNALING SYSTEM,GLYCOLYSIS GLUCONEOGENESIS,PYRUVATE METABOLISM,PROPANOATE METABOLISM,ADIPOCYTOKINE SIGNALING PATHWAY,PPAR SIGNALING PATHWAY,CITRATE CYCLE TCA CYCLE,GLYOXYLATE AND DICARBOXYLATE METABOLISM,NEUROACTIVE LIGAND RECEPTOR INTERACTION,ENDOCYTOSIS,HUNTINGTONS DISEASE,ECM RECEPTOR INTERACTION,FOCAL ADHESION,PATHWAYS IN CANCER,SMALL CELL LUNG CANCER,GLYCINE SERINE AND THREONINE METABOLISM,ONE CARBON POOL BY FOLATE,"GLYCOSYLPHOSPHATIDYLINOSITOL GPI ANCHOR
BIOSYNTHESIS",DORSO VENTRAL AXIS FORMATION,MAPK SIGNALING PATHWAY,GNRH SIGNALING PATHWAY,PENTOSE PHOSPHATE PATHWAY,TAURINE AND HYPOTAURINE METABOLISM,CELL CYCLE,BLADDER CANCER
MTOR SIGNALING PATHWAY,0.019230769230769232,0.0,0.0,0.23076923076923078,0.0,0.057692307692307696,0.15384615384615385,0.038461538461538464,0.0,0.5769230769230769,1.0,0.38461538461538464,0.25,0.34615384615384615,0.07692307692307693,0.15384615384615385,0.0,0.0,0.0,0.1346153846153846,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.40384615384615385,0.4230769230769231,0.21153846153846154,0.0,0.0,0.0,0.038461538461538464,0.19230769230769232,0.038461538461538464,0.0,0.0,0.0,0.15384615384615385
PROGESTERONE MEDIATED OOCYTE MATURATION,0.0,0.0,0.0,0.2,0.0,0.08235294117647059,0.17647058823529413,0.03529411764705882,0.0,0.32941176470588235,0.23529411764705882,1.0,0.18823529411764706,0.2235294117647059,0.047058823529411764,0.09411764705882353,0.0,0.0,0.0,0.07058823529411765,0.0,0.0,0.0,0.0,0.011764705882352941,0.0,0.0,0.24705882352941178,0.3176470588235294,0.1411764705882353,0.0,0.0,0.0,0.058823529411764705,0.3058823529411765,0.29411764705882354,0.0,0.0,0.32941176470588235,0.08235294117647059
B CELL RECEPTOR SIGNALING PATHWAY,0.0,0.0,0.0,0.32,0.0,0.09333333333333334,0.2,0.08,0.013333333333333334,0.3333333333333333,0.17333333333333334,0.21333333333333335,1.0,0.36,0.06666666666666667,0.14666666666666667,0.0,0.0,0.0,0.14666666666666667,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.37333333333333335,0.48,0.22666666666666666,0.0,0.0,0.0,0.09333333333333334,0.4666666666666667,0.17333333333333334,0.0,0.0,0.013333333333333334,0.10666666666666667
ACUTE MYELOID LEUKEMIA,0.0,0.0,0.0,0.3508771929824561,0.08771929824561403,0.10526315789473684,0.14035087719298245,0.10526315789473684,0.0,0.5263157894736842,0.3157894736842105,0.3333333333333333,0.47368421052631576,1.0,0.07017543859649122,0.14035087719298245,0.0,0.0,0.0,0.17543859649122806,0.017543859649122806,0.0,0.0,0.0,0.03508771929824561,0.0,0.0,0.38596491228070173,0.9122807017543859,0.3157894736842105,0.0,0.0,0.0,0.12280701754385964,0.3684210526315789,0.19298245614035087,0.0,0.0,0.05263157894736842,0.21052631578947367
INOSITOL PHOSPHATE METABOLISM,0.0,0.0,0.0,0.2037037037037037,0.0,0.018518518518518517,0.1111111111111111,0.0,0.0,0.09259259259259259,0.07407407407407407,0.07407407407407407,0.09259259259259259,0.07407407407407407,1.0,0.8888888888888888,0.018518518518518517,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.09259259259259259,0.07407407407407407,0.0,0.1111111111111111,0.12962962962962962,0.09259259259259259,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,0.0
PHOSPHATIDYLINOSITOL SIGNALING SYSTEM,0.0,0.0,0.0,0.19736842105263158,0.0,0.05263157894736842,0.17105263157894737,0.0,0.0,0.21052631578947367,0.10526315789473684,0.10526315789473684,0.14473684210526316,0.10526315789473684,0.631578947368421,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06578947368421052,0.06578947368421052,0.0,0.17105263157894737,0.18421052631578946,0.11842105263157894,0.0,0.0,0.0,0.0,0.039473684210526314,0.19736842105263158,0.0,0.0,0.0,0.0
GLYCOLYSIS GLUCONEOGENESIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1774193548387097,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,1.0,0.3387096774193548,0.1935483870967742,0.06451612903225806,0.03225806451612903,0.11290322580645161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.1774193548387097,0.0,0.0,0.0
PYRUVATE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.525,1.0,0.4,0.075,0.075,0.25,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROPANOATE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.36363636363636365,0.48484848484848486,1.0,0.030303030303030304,0.06060606060606061,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIPOCYTOKINE SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,0.05970149253731343,0.014925373134328358,0.0,0.014925373134328358,0.3880597014925373,0.1044776119402985,0.08955223880597014,0.16417910447761194,0.14925373134328357,0.0,0.0,0.05970149253731343,0.04477611940298507,0.014925373134328358,1.0,0.23880597014925373,0.029850746268656716,0.0,0.029850746268656716,0.0,0.014925373134328358,0.014925373134328358,0.08955223880597014,0.2835820895522388,0.19402985074626866,0.0,0.0,0.0,0.0,0.208955223880597,0.04477611940298507,0.0,0.0,0.0,0.0
PPAR SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.057971014492753624,0.014492753623188406,0.0,0.0,0.014492753623188406,0.0,0.0,0.028985507246376812,0.043478260869565216,0.028985507246376812,0.2318840579710145,1.0,0.028985507246376812,0.0,0.0,0.0,0.028985507246376812,0.014492753623188406,0.028985507246376812,0.08695652173913043,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406
CITRATE CYCLE TCA CYCLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.21875,0.3125,0.125,0.0625,0.0625,1.0,0.15625,0.0,0.0,0.15625,0.0,0.0,0.03125,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLYOXYLATE AND DICARBOXYLATE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.3125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEUROACTIVE LIGAND RECEPTOR INTERACTION,0.0,0.0,0.0,0.03308823529411765,0.0,0.003676470588235294,0.0,0.003676470588235294,0.011029411764705883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007352941176470588,0.0,0.0,0.0,1.0,0.01838235294117647,0.011029411764705883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.0
ENDOCYTOSIS,0.0,0.0,0.03314917127071823,0.08287292817679558,0.0,0.049723756906077346,0.011049723756906077,0.03314917127071823,0.0,0.03314917127071823,0.0,0.0055248618784530384,0.0055248618784530384,0.011049723756906077,0.027624309392265192,0.027624309392265192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027624309392265192,1.0,0.049723756906077346,0.0,0.06077348066298342,0.10497237569060773,0.0055248618784530384,0.0,0.0,0.0,0.0055248618784530384,0.09944751381215469,0.03314917127071823,0.0,0.0,0.0055248618784530384,0.027624309392265192
HUNTINGTONS DISEASE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01092896174863388,0.00546448087431694,0.00546448087431694,0.0,0.0,0.0,0.0,0.02185792349726776,0.0273224043715847,0.0,0.0,0.0,0.00546448087431694,0.01092896174863388,0.0273224043715847,0.0,0.01639344262295082,0.04918032786885246,1.0,0.0,0.0,0.060109289617486336,0.02185792349726776,0.0,0.0,0.0,0.0,0.01639344262295082,0.03278688524590164,0.0,0.0,0.0273224043715847,0.00546448087431694
ECM RECEPTOR INTERACTION,0.0,0.0,0.0,0.25,0.2619047619047619,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,1.0,0.7738095238095238,0.27380952380952384,0.27380952380952384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904
FOCAL ADHESION,0.0,0.0,0.0,0.4623115577889447,0.1407035175879397,0.1306532663316583,0.23115577889447236,0.10552763819095477,0.020100502512562814,0.18592964824120603,0.10552763819095477,0.10552763819095477,0.1407035175879397,0.11055276381909548,0.03015075376884422,0.06532663316582915,0.0,0.0,0.0,0.03015075376884422,0.010050251256281407,0.0,0.0,0.0,0.05527638190954774,0.0,0.32663316582914576,1.0,0.41708542713567837,0.20603015075376885,0.0,0.0,0.0,0.035175879396984924,0.20100502512562815,0.09045226130653267,0.0,0.0,0.020100502512562814,0.08040201005025126
PATHWAYS IN CANCER,0.0,0.0,0.0,0.20923076923076922,0.04923076923076923,0.052307692307692305,0.08,0.08615384615384615,0.0,0.11384615384615385,0.06769230769230769,0.08307692307692308,0.11076923076923077,0.16,0.021538461538461538,0.043076923076923075,0.0,0.0,0.0,0.05846153846153846,0.018461538461538463,0.003076923076923077,0.0,0.0,0.05846153846153846,0.033846153846153845,0.07076923076923076,0.2553846153846154,1.0,0.2523076923076923,0.0,0.0,0.0,0.027692307692307693,0.2523076923076923,0.06461538461538462,0.0,0.0,0.09846153846153846,0.12
SMALL CELL LUNG CANCER,0.0,0.0,0.0,0.19047619047619047,0.08333333333333333,0.05952380952380952,0.11904761904761904,0.0,0.0,0.14285714285714285,0.13095238095238096,0.14285714285714285,0.20238095238095238,0.21428571428571427,0.05952380952380952,0.10714285714285714,0.0,0.0,0.0,0.15476190476190477,0.03571428571428571,0.0,0.0,0.0,0.011904761904761904,0.047619047619047616,0.27380952380952384,0.4880952380952381,0.9761904761904762,1.0,0.0,0.0,0.0,0.0,0.15476190476190477,0.0,0.0,0.0,0.17857142857142858,0.09523809523809523
GLYCINE SERINE AND THREONINE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ONE CARBON POOL BY FOLATE,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"GLYCOSYLPHOSPHATIDYLINOSITOL GPI ANCHOR
BIOSYNTHESIS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DORSO VENTRAL AXIS FORMATION,0.0,0.0,0.0,0.2916666666666667,0.0,0.041666666666666664,0.0,0.125,0.0,0.2916666666666667,0.08333333333333333,0.20833333333333334,0.2916666666666667,0.2916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.2916666666666667,0.375,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.20833333333333334
MAPK SIGNALING PATHWAY,0.0,0.0,0.02247191011235955,0.21722846441947566,0.0749063670411985,0.052434456928838954,0.0449438202247191,0.0449438202247191,0.003745318352059925,0.10486891385767791,0.03745318352059925,0.09737827715355805,0.13108614232209737,0.07865168539325842,0.0,0.011235955056179775,0.0,0.0,0.0,0.052434456928838954,0.0,0.0,0.0,0.0,0.06741573033707865,0.011235955056179775,0.0,0.149812734082397,0.30711610486891383,0.04868913857677903,0.0,0.0,0.0,0.0299625468164794,1.0,0.21722846441947566,0.0,0.0,0.033707865168539325,0.056179775280898875
GNRH SIGNALING PATHWAY,0.0,0.0,0.0,0.1188118811881188,0.039603960396039604,0.07920792079207921,0.0891089108910891,0.04950495049504951,0.0,0.24752475247524752,0.019801980198019802,0.24752475247524752,0.12871287128712872,0.10891089108910891,0.039603960396039604,0.1485148514851485,0.0,0.0,0.0,0.0297029702970297,0.0,0.0,0.0,0.039603960396039604,0.0594059405940594,0.0594059405940594,0.0,0.1782178217821782,0.2079207920792079,0.0,0.0,0.0,0.0,0.07920792079207921,0.5742574257425742,1.0,0.0,0.0,0.0,0.09900990099009901
PENTOSE PHOSPHATE PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.4074074074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TAURINE AND HYPOTAURINE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CELL CYCLE,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.04,0.0,0.008,0.0,0.224,0.008,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.04,0.0,0.032,0.256,0.12,0.0,0.0,0.0,0.0,0.072,0.0,0.0,0.0,1.0,0.088
BLADDER CANCER,0.0,0.0,0.0,0.30952380952380953,0.0,0.09523809523809523,0.047619047619047616,0.11904761904761904,0.0,0.23809523809523808,0.19047619047619047,0.16666666666666666,0.19047619047619047,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.11904761904761904,0.023809523809523808,0.023809523809523808,0.38095238095238093,0.9285714285714286,0.19047619047619047,0.0,0.0,0.0,0.11904761904761904,0.35714285714285715,0.23809523809523808,0.0,0.0,0.2619047619047619,1.0
