"Function","Script_Analysis","Module","Scope","Target_Type","Description_CN","Requirement","Implemented_In_Script","Default_Run","Selected_This_Run"
"gs_3age","gs_3age","基因集临床分组","指定癌种","基因集","按三年龄组比较基因集活性","需要RUN_GENESET_ANALYSES=TRUE且配置TARGET_GENESETS",TRUE,FALSE,FALSE
"gs_age","gs_age","基因集临床分组","指定癌种","基因集","按年龄二分组比较基因集活性","需要RUN_GENESET_ANALYSES=TRUE且配置TARGET_GENESETS",TRUE,FALSE,FALSE
"gs_gender","gs_gender","基因集临床分组","指定癌种","基因集","按性别比较基因集活性","需要RUN_GENESET_ANALYSES=TRUE且配置TARGET_GENESETS",TRUE,FALSE,FALSE
"gs_stage","gs_stage","基因集临床分组","指定癌种","基因集","按病理分期比较基因集活性","需要RUN_GENESET_ANALYSES=TRUE且配置TARGET_GENESETS",TRUE,FALSE,FALSE
"gs_checkpoint_heatmap","gs_checkpoint_heatmap","基因集免疫相关","泛癌","基因集","基因集与免疫检查点相关性热图","需要RUN_GENESET_ANALYSES=TRUE且配置TARGET_GENESETS",TRUE,FALSE,FALSE
"gs_chemokine_heatmap","gs_chemokine_heatmap","基因集免疫相关","泛癌","基因集","基因集与趋化因子相关性热图","需要RUN_GENESET_ANALYSES=TRUE且配置TARGET_GENESETS",TRUE,FALSE,FALSE
"gs_immucell_heatmap","gs_immucell_heatmap","基因集免疫相关","泛癌","基因集","基因集与免疫细胞比例相关性热图","需要RUN_GENESET_ANALYSES=TRUE且配置TARGET_GENESETS",TRUE,FALSE,FALSE
"gs_immuinhibitor_heatmap","gs_immuinhibitor_heatmap","基因集免疫相关","泛癌","基因集","基因集与免疫抑制因子相关性热图","需要RUN_GENESET_ANALYSES=TRUE且配置TARGET_GENESETS",TRUE,FALSE,FALSE
"gs_immunescore_heatmap","gs_immunescore_heatmap","基因集免疫相关","泛癌","基因集","基因集与免疫评分相关性热图","需要RUN_GENESET_ANALYSES=TRUE且配置TARGET_GENESETS",TRUE,FALSE,FALSE
"gs_immustimulator_heatmap","gs_immustimulator_heatmap","基因集免疫相关","泛癌","基因集","基因集与免疫刺激因子相关性热图","需要RUN_GENESET_ANALYSES=TRUE且配置TARGET_GENESETS",TRUE,FALSE,FALSE
"gs_receptor_heatmap","gs_receptor_heatmap","基因集免疫相关","泛癌","基因集","基因集与趋化因子受体相关性热图","需要RUN_GENESET_ANALYSES=TRUE且配置TARGET_GENESETS",TRUE,FALSE,FALSE
"gs_kmplot","gs_kmplot","基因集生存分析","指定癌种","基因集","按基因集活性高低分组绘制KM生存曲线","需要RUN_GENESET_ANALYSES=TRUE且配置TARGET_GENESETS",TRUE,FALSE,FALSE
"gs_MSI_radar","gs_MSI_radar","基因集相关","泛癌","基因集","基因集活性与MSI相关性雷达图","需要RUN_GENESET_ANALYSES=TRUE且配置TARGET_GENESETS",TRUE,FALSE,FALSE
"gs_TMB_radar","gs_TMB_radar","基因集相关","泛癌","基因集","基因集活性与TMB相关性雷达图","需要RUN_GENESET_ANALYSES=TRUE且配置TARGET_GENESETS",TRUE,FALSE,FALSE
"gs_boxplot","gs_boxplot","基因集表达","指定癌种","基因集","COAD基因集tumor-normal表达差异箱线图","需要RUN_GENESET_ANALYSES=TRUE且配置TARGET_GENESETS",TRUE,FALSE,FALSE
"gs_paired_boxplot","gs_paired_boxplot","基因集表达","指定癌种","基因集","COAD基因集配对tumor-normal表达差异箱线图","需要RUN_GENESET_ANALYSES=TRUE且配置TARGET_GENESETS",TRUE,FALSE,FALSE
"gs_pan_boxplot","gs_pan_boxplot","基因集表达","泛癌","基因集","基因集泛癌tumor-normal表达差异箱线图","需要RUN_GENESET_ANALYSES=TRUE且配置TARGET_GENESETS",TRUE,FALSE,FALSE
"gs_pan_paired_boxplot","gs_pan_paired_boxplot","基因集表达","泛癌","基因集","基因集泛癌配对tumor-normal表达差异箱线图","需要RUN_GENESET_ANALYSES=TRUE且配置TARGET_GENESETS",TRUE,FALSE,FALSE
"gs_pan_tumor_boxplot","gs_pan_tumor_boxplot","基因集表达","泛癌","基因集","基因集泛癌肿瘤样本表达分布箱线图","需要RUN_GENESET_ANALYSES=TRUE且配置TARGET_GENESETS",TRUE,FALSE,FALSE
"gs_roc","gs_roc","基因集诊断分析","指定癌种","基因集","基因集活性诊断ROC曲线","需要RUN_GENESET_ANALYSES=TRUE且配置TARGET_GENESETS",TRUE,FALSE,FALSE
"gs_pan_forest","gs_pan_forest","基因集预后","泛癌","基因集","基因集泛癌Cox回归森林图","需要RUN_GENESET_ANALYSES=TRUE且配置TARGET_GENESETS",TRUE,FALSE,FALSE
"get_all_meta","data_summary","数据提取","泛癌","数据","提取全部临床信息","仅在TCGAPLOT_SAVE_BUILTIN_DATA=1时保存",TRUE,TRUE,TRUE
"get_all_paired_tpm","data_summary","数据提取","泛癌","数据","提取全部配对TPM矩阵","对象较大；仅在TCGAPLOT_SAVE_BUILTIN_DATA=1时建议保存",TRUE,TRUE,TRUE
"get_all_promoter_methy","data_summary","数据提取","泛癌","数据","提取全部启动子甲基化矩阵","对象很大；仅在TCGAPLOT_SAVE_BUILTIN_DATA=1时建议保存",TRUE,TRUE,TRUE
"get_all_tpm","data_summary","数据提取","泛癌","数据","提取全部TPM矩阵","对象很大；仅在TCGAPLOT_SAVE_BUILTIN_DATA=1时建议保存",TRUE,TRUE,TRUE
"get_geneset","data_summary","数据提取","泛癌","数据","提取TCGAplot内置基因集列表","默认只写概览；如需保存对象，设置TCGAPLOT_SAVE_BUILTIN_DATA=1",TRUE,TRUE,TRUE
"get_immu_ratio","data_summary","数据提取","泛癌","数据","提取泛癌免疫细胞比例矩阵","默认只写概览；如需保存矩阵，设置TCGAPLOT_SAVE_BUILTIN_DATA=1",TRUE,TRUE,TRUE
"get_immuscore","data_summary","数据提取","泛癌","数据","提取泛癌免疫评分矩阵","默认只写概览；如需保存矩阵，设置TCGAPLOT_SAVE_BUILTIN_DATA=1",TRUE,TRUE,TRUE
"get_meta","data_summary","数据提取","指定癌种","数据","提取指定癌种临床信息","默认只写概览；如需保存矩阵，设置TCGAPLOT_SAVE_BUILTIN_DATA=1",TRUE,TRUE,TRUE
"get_methy","data_summary","数据提取","泛癌","数据","提取或提示TCGAplot内置甲基化数据","默认只写概览；如需保存对象，设置TCGAPLOT_SAVE_BUILTIN_DATA=1",TRUE,TRUE,TRUE
"get_msi","data_summary","数据提取","泛癌","数据","提取泛癌MSI矩阵","默认只写概览；如需保存矩阵，设置TCGAPLOT_SAVE_BUILTIN_DATA=1",TRUE,TRUE,TRUE
"get_paired_tpm","data_summary","数据提取","指定癌种","数据","提取指定癌种配对TPM矩阵","默认只写概览；如需保存矩阵，设置TCGAPLOT_SAVE_BUILTIN_DATA=1",TRUE,TRUE,TRUE
"get_promoter_methy","data_summary","数据提取","指定癌种","数据","提取指定癌种启动子甲基化矩阵","默认只写概览；如需保存对象，设置TCGAPLOT_SAVE_BUILTIN_DATA=1",TRUE,TRUE,TRUE
"get_tmb","data_summary","数据提取","泛癌","数据","提取泛癌TMB矩阵","默认只写概览；如需保存矩阵，设置TCGAPLOT_SAVE_BUILTIN_DATA=1",TRUE,TRUE,TRUE
"get_tpm","data_summary","数据提取","指定癌种","数据","提取指定癌种TPM矩阵","默认只写概览；如需保存矩阵，设置TCGAPLOT_SAVE_BUILTIN_DATA=1",TRUE,TRUE,TRUE
"sample_audit","sample_audit","样本审计","COAD本地SE对照","样本","比较TCGAplot内置COAD样本与本项目本地SE样本是否一致","无需额外配置",TRUE,TRUE,TRUE
"tcga_kmplot","tcga_kmplot","生存分析","指定癌种","基因","按目标基因高低表达分组绘制KM生存曲线","无需额外配置",TRUE,TRUE,TRUE
"gene_methylation_scatter","gene_methylation_scatter","甲基化分析","指定癌种","基因","目标基因表达与启动子甲基化探针相关散点图","无需额外配置",TRUE,TRUE,TRUE
"methy_kmplot","methy_kmplot","甲基化生存分析","指定癌种","基因","按目标基因启动子甲基化高低分组绘制KM生存曲线","无需额外配置",TRUE,TRUE,TRUE
"tcga_roc","tcga_roc","诊断分析","指定癌种","基因","COAD tumor-normal诊断ROC曲线","无需额外配置",TRUE,TRUE,TRUE
"gene_deg_heatmap","gene_deg_heatmap","高低表达分组机制分析","指定癌种","基因","按目标基因高低表达分组计算DEG并绘制Top DEG热图","无需额外配置",TRUE,TRUE,TRUE
"gene_gsea_go","gene_gsea_go","高低表达分组机制分析","指定癌种","基因","按目标基因高低表达分组做GSEA-GO","无需额外配置",TRUE,TRUE,TRUE
"gene_gsea_kegg","gene_gsea_kegg","高低表达分组机制分析","指定癌种","基因","按目标基因高低表达分组做GSEA-KEGG","无需额外配置",TRUE,TRUE,TRUE
