Pathway,RIBOSOMAL SUBUNIT,LARGE RIBOSOMAL SUBUNIT,RIBOSOME,CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,MITOCHONDRIAL PROTEIN CONTAINING COMPLEX,MITOCHONDRIAL LARGE RIBOSOMAL SUBUNIT,ORGANELLAR RIBOSOME,MITOCHONDRIAL SMALL RIBOSOMAL SUBUNIT,PRERIBOSOME,SMALL SUBUNIT PROCESSOME,"SNO S RNA CONTAINING RIBONUCLEOPROTEIN
COMPLEX",SMALL RIBOSOMAL SUBUNIT,CYTOSOLIC SMALL RIBOSOMAL SUBUNIT,CYTOSOLIC RIBOSOME,RESPIRATORY CHAIN COMPLEX,NADH DEHYDROGENASE COMPLEX,SPLICEOSOMAL COMPLEX,CATALYTIC STEP 2 SPLICEOSOME,CATALYTIC STEP 1 SPLICEOSOME,U2 TYPE SPLICEOSOMAL COMPLEX,U2 TYPE PRECATALYTIC SPLICEOSOME,PRECATALYTIC SPLICEOSOME,SM LIKE PROTEIN FAMILY COMPLEX,SMALL NUCLEAR RIBONUCLEOPROTEIN COMPLEX,SPLICEOSOMAL TRI SNRNP COMPLEX,U4 U6 SNRNP,EXTRINSIC COMPONENT OF MEMBRANE,EXTRINSIC COMPONENT OF PLASMA MEMBRANE,BASAL PART OF CELL,CELL LEADING EDGE,EARLY ENDOSOME,EARLY ENDOSOME MEMBRANE,LATE ENDOSOME,TRANS GOLGI NETWORK,GOLGI APPARATUS SUBCOMPARTMENT,COATED VESICLE,CLATHRIN COATED VESICLE,ENDOCYTIC VESICLE,INNER MITOCHONDRIAL MEMBRANE PROTEIN COMPLEX,NUCLEOID
"SNO S RNA CONTAINING RIBONUCLEOPROTEIN
COMPLEX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22580645161290322,0.22580645161290322,1.0,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.03225806451612903,0.03225806451612903,0.0967741935483871,0.06451612903225806,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL RIBOSOMAL SUBUNIT,1.0,0.04054054054054054,1.0,0.0,0.43243243243243246,0.02702702702702703,0.43243243243243246,0.43243243243243246,0.2702702702702703,0.2702702702702703,0.0,1.0,0.5540540540540541,0.5540540540540541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.0
CYTOSOLIC SMALL RIBOSOMAL SUBUNIT,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487805,0.4878048780487805,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0
CYTOSOLIC RIBOSOME,0.8181818181818182,0.4793388429752066,1.0,0.4793388429752066,0.0,0.0,0.0,0.0,0.17355371900826447,0.1652892561983471,0.0,0.33884297520661155,0.33884297520661155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008264462809917356,0.008264462809917356,0.0,0.024793388429752067,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.03305785123966942,0.0,0.0
RESPIRATORY CHAIN COMPLEX,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.41228070175438597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008771929824561403
NADH DEHYDROGENASE COMPLEX,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPLICEOSOMAL COMPLEX,0.0045662100456621,0.0045662100456621,0.0091324200913242,0.0,0.0,0.0,0.0,0.0,0.0045662100456621,0.0045662100456621,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,1.0,0.4931506849315068,0.3059360730593607,0.5068493150684932,0.228310502283105,0.319634703196347,0.3561643835616438,0.3470319634703196,0.1735159817351598,0.091324200913242,0.0,0.0,0.0,0.0045662100456621,0.0,0.0,0.0,0.0,0.0,0.0045662100456621,0.0045662100456621,0.0,0.0,0.0
CATALYTIC STEP 2 SPLICEOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5555555555555556,0.6574074074074074,0.32407407407407407,0.37962962962962965,0.32407407407407407,0.32407407407407407,0.17592592592592593,0.09259259259259259,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CATALYTIC STEP 1 SPLICEOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,1.0,0.8955223880597015,1.0,1.0,0.417910447761194,0.44776119402985076,0.40298507462686567,0.40298507462686567,0.16417910447761194,0.1044776119402985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U2 TYPE SPLICEOSOMAL COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009009009009,0.009009009009009009,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,1.0,0.6396396396396397,0.6036036036036037,1.0,0.45045045045045046,0.4954954954954955,0.4954954954954955,0.4954954954954955,0.26126126126126126,0.16216216216216217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U2 TYPE PRECATALYTIC SPLICEOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.56,1.0,1.0,1.0,0.78,0.78,0.5,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRECATALYTIC SPLICEOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.04285714285714286,0.0,0.0,0.0,0.0,0.0,1.0,0.5857142857142857,0.42857142857142855,0.7857142857142857,0.7142857142857143,1.0,0.8,0.8,0.4714285714285714,0.2571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SM LIKE PROTEIN FAMILY COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007936507936507936,0.007936507936507936,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.6190476190476191,0.2777777777777778,0.21428571428571427,0.4365079365079365,0.30952380952380953,0.4444444444444444,1.0,0.8968253968253969,0.373015873015873,0.15873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007936507936507936,0.007936507936507936,0.0,0.0,0.0,0.0,0.0
SMALL NUCLEAR RIBONUCLEOPROTEIN COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008849557522123894,0.008849557522123894,0.02654867256637168,0.0,0.0,0.0,0.0,0.0,0.672566371681416,0.30973451327433627,0.23893805309734514,0.48672566371681414,0.34513274336283184,0.49557522123893805,1.0,1.0,0.415929203539823,0.17699115044247787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008849557522123894,0.008849557522123894,0.0,0.0,0.0,0.0,0.0
SPLICEOSOMAL TRI SNRNP COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.02127659574468085,0.06382978723404255,0.0,0.0,0.0,0.0,0.0,0.8085106382978723,0.40425531914893614,0.23404255319148937,0.6170212765957447,0.5319148936170213,0.7021276595744681,1.0,1.0,1.0,0.425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U4 U6 SNRNP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.35,0.9,0.9,0.9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXTRINSIC COMPONENT OF MEMBRANE,0.0,0.0,0.005988023952095809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005988023952095809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6227544910179641,0.04790419161676647,0.08982035928143713,0.041916167664670656,0.011976047904191617,0.041916167664670656,0.029940119760479042,0.041916167664670656,0.0658682634730539,0.059880239520958084,0.07784431137724551,0.0,0.0
EXTRINSIC COMPONENT OF PLASMA MEMBRANE,0.0,0.0,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.04807692307692308,0.11538461538461539,0.04807692307692308,0.009615384615384616,0.019230769230769232,0.028846153846153848,0.038461538461538464,0.057692307692307696,0.04807692307692308,0.0673076923076923,0.0,0.0
BASAL PART OF CELL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024615384615384615,0.015384615384615385,1.0,0.11076923076923077,0.08307692307692308,0.033846153846153845,0.033846153846153845,0.027692307692307693,0.03076923076923077,0.052307692307692305,0.04923076923076923,0.07076923076923076,0.0,0.0
CELL LEADING EDGE,0.0045662100456621,0.0,0.00684931506849315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045662100456621,0.0045662100456621,0.00684931506849315,0.0,0.0,0.00228310502283105,0.00228310502283105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03424657534246575,0.0273972602739726,0.0821917808219178,1.0,0.091324200913242,0.04337899543378995,0.02968036529680365,0.03424657534246575,0.0410958904109589,0.0365296803652968,0.0319634703196347,0.0776255707762557,0.0,0.0
EARLY ENDOSOME,0.0,0.0,0.002188183807439825,0.0,0.002188183807439825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002188183807439825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015317286652078774,0.010940919037199124,0.05908096280087528,0.087527352297593,1.0,0.4638949671772429,0.25164113785557984,0.13566739606126915,0.1400437636761488,0.16630196936542668,0.13785557986870897,0.18818380743982493,0.002188183807439825,0.0
EARLY ENDOSOME MEMBRANE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.0047169811320754715,0.05188679245283019,0.08962264150943396,1.0,1.0,0.27358490566037735,0.15566037735849056,0.16037735849056603,0.15566037735849056,0.10849056603773585,0.24056603773584906,0.0,0.0
LATE ENDOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0060790273556231,0.03343465045592705,0.03951367781155015,0.3495440729483283,0.1762917933130699,1.0,0.1641337386018237,0.17325227963525835,0.1398176291793313,0.12462006079027356,0.2066869300911854,0.0,0.0
TRANS GOLGI NETWORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035460992907801418,0.0035460992907801418,0.0,0.0,0.01773049645390071,0.010638297872340425,0.031914893617021274,0.05319148936170213,0.2198581560283688,0.11702127659574468,0.19148936170212766,1.0,1.0,0.21631205673758866,0.19858156028368795,0.1702127659574468,0.0,0.0
GOLGI APPARATUS SUBCOMPARTMENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024813895781637717,0.0024813895781637717,0.0,0.0,0.017369727047146403,0.009925558312655087,0.02481389578163772,0.04466501240694789,0.1588089330024814,0.08436724565756824,0.141439205955335,0.6997518610421837,1.0,0.17369727047146402,0.14392059553349876,0.12655086848635236,0.0,0.0
COATED VESICLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030581039755351682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03363914373088685,0.01834862385321101,0.05198776758409786,0.04892966360856269,0.2324159021406728,0.10091743119266056,0.14067278287461774,0.18654434250764526,0.21406727828746178,1.0,0.6941896024464832,0.3730886850152905,0.0,0.0
CLATHRIN COATED VESICLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004405286343612335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04405286343612335,0.022026431718061675,0.07048458149779736,0.06167400881057269,0.2775330396475771,0.1013215859030837,0.18061674008810572,0.24669603524229075,0.2555066079295154,1.0,1.0,0.4889867841409692,0.0,0.0
ENDOCYTIC VESICLE,0.00554016620498615,0.002770083102493075,0.013850415512465374,0.002770083102493075,0.0,0.0,0.0,0.0,0.002770083102493075,0.002770083102493075,0.0,0.002770083102493075,0.002770083102493075,0.0110803324099723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036011080332409975,0.019390581717451522,0.06371191135734072,0.09418282548476455,0.23822714681440443,0.14127423822714683,0.1883656509695291,0.1329639889196676,0.14127423822714683,0.3379501385041551,0.3074792243767313,1.0,0.0,0.0
INNER MITOCHONDRIAL MEMBRANE PROTEIN COMPLEX,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.017241379310344827
NUCLEOID,0.0,0.0,0.0,0.0,0.2653061224489796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,1.0
