"TF","HVL_TOR10","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"E2F2","-4.474980861412541699","-4.474980861412541699","4.474980861412541699","Repressed","11","viper","11","4.474980861412541699",NA,NA,"3","ARCHS4--Coexpression(rank=5); Enrichr--Queries(rank=9); GTEx--Coexpression(rank=1179)","9","0.003071000000000000","ARCHS4 Coexpression,0.003071"
"LYL1","4.182251105077158471","4.182251105077158471","4.182251105077158471","Activated","12","viper","12","4.182251105077158471",NA,NA,"5","Literature--ChIP-seq(rank=133); ReMap--ChIP-seq(rank=240); Enrichr--Queries(rank=483); ARCHS4--Coexpression(rank=686); GTEx--Coexpression(rank=1266)","1086","0.343999999999999917","Enrichr Queries,0.344"
"NFE2L2","3.752462054890209675","3.752462054890209675","3.752462054890209675","Activated","13","viper","13","3.752462054890209675",NA,NA,"5","ReMap--ChIP-seq(rank=92); Literature--ChIP-seq(rank=102); ARCHS4--Coexpression(rank=237); GTEx--Coexpression(rank=441); Enrichr--Queries(rank=891)","552","0.145600000000000007","ARCHS4 Coexpression,0.1456"
"ESRRA","3.717212984863539127","3.717212984863539127","3.717212984863539127","Activated","14","viper","14","3.717212984863539127",NA,NA,"5","ENCODE--ChIP-seq(rank=61); ReMap--ChIP-seq(rank=164); Enrichr--Queries(rank=1036); ARCHS4--Coexpression(rank=1297); GTEx--Coexpression(rank=1580)","1355","0.516900000000000026","ENCODE ChIP-seq,0.5169"
"SP3","3.708607297089189014","3.708607297089189014","3.708607297089189014","Activated","15","viper","15","3.708607297089189014",NA,NA,"3","GTEx--Coexpression(rank=816); Enrichr--Queries(rank=1243); ARCHS4--Coexpression(rank=1461)","1339","0.507800000000000029","GTEx Coexpression,0.5078"
"NR2F1","3.635867448658534062","3.635867448658534062","3.635867448658534062","Activated","16","viper","16","3.635867448658534062",NA,NA,"4","ReMap--ChIP-seq(rank=58); ARCHS4--Coexpression(rank=128); Enrichr--Queries(rank=890); GTEx--Coexpression(rank=903)","320","0.078619999999999995","ARCHS4 Coexpression,0.07862"
"RARA","3.629378423610124749","3.629378423610124749","3.629378423610124749","Activated","17","viper","17","3.629378423610124749",NA,NA,"5","Literature--ChIP-seq(rank=28); ReMap--ChIP-seq(rank=62); Enrichr--Queries(rank=692); ARCHS4--Coexpression(rank=868); GTEx--Coexpression(rank=918)","638","0.170699999999999991","Literature ChIP-seq,0.1707"
"HNF4G","3.563423199144879483","3.563423199144879483","3.563423199144879483","Activated","18","viper","18","3.563423199144879483",NA,NA,"5","ReMap--ChIP-seq(rank=29); ARCHS4--Coexpression(rank=45); ENCODE--ChIP-seq(rank=50); GTEx--Coexpression(rank=57); Enrichr--Queries(rank=508)","108","0.027640000000000001","ARCHS4 Coexpression,0.02764"
"ZBTB33","-3.411127732240809340","-3.411127732240809340","3.411127732240809340","Repressed","19","viper","19","3.411127732240809340",NA,NA,"5","ENCODE--ChIP-seq(rank=106); ReMap--ChIP-seq(rank=231); GTEx--Coexpression(rank=398); ARCHS4--Coexpression(rank=936); Enrichr--Queries(rank=1096)","859","0.247700000000000004","GTEx Coexpression,0.2477"
"E2F3","-3.395583071727163560","-3.395583071727163560","3.395583071727163560","Repressed","20","viper","20","3.395583071727163560",NA,NA,"3","ARCHS4--Coexpression(rank=18); Enrichr--Queries(rank=28); GTEx--Coexpression(rank=1222)","36","0.011060000000000000","ARCHS4 Coexpression,0.01106"
"EBF1","3.377979481068194900","3.377979481068194900","3.377979481068194900","Activated","21","viper","21","3.377979481068194900",NA,NA,"5","ENCODE--ChIP-seq(rank=100); ReMap--ChIP-seq(rank=125); ARCHS4--Coexpression(rank=436); GTEx--Coexpression(rank=799); Enrichr--Queries(rank=1082)","915","0.267799999999999983","ARCHS4 Coexpression,0.2678"
"PRDM14","3.317045562626493638","3.317045562626493638","3.317045562626493638","Activated","22","viper","22","3.317045562626493638",NA,NA,"5","ReMap--ChIP-seq(rank=52); Literature--ChIP-seq(rank=84); ARCHS4--Coexpression(rank=201); Enrichr--Queries(rank=944); GTEx--Coexpression(rank=1356)","471","0.123500000000000013","ARCHS4 Coexpression,0.1235"
"SMAD5","-3.287963398583137575","-3.287963398583137575","3.287963398583137575","Repressed","23","viper","23","3.287963398583137575",NA,NA,"4","ReMap--ChIP-seq(rank=165); ARCHS4--Coexpression(rank=234); GTEx--Coexpression(rank=951); Enrichr--Queries(rank=1338)","544","0.143699999999999994","ARCHS4 Coexpression,0.1437"
"PPARA","3.225077306251423082","3.225077306251423082","3.225077306251423082","Activated","24","viper","24","3.225077306251423082",NA,NA,"3","Enrichr--Queries(rank=544); GTEx--Coexpression(rank=610); ARCHS4--Coexpression(rank=969)","1154","0.379599999999999993","GTEx Coexpression,0.3796"
"ZBTB11","-3.215852687084626016","-3.215852687084626016","3.215852687084626016","Repressed","25","viper","25","3.215852687084626016",NA,NA,"4","ReMap--ChIP-seq(rank=176); GTEx--Coexpression(rank=1225); Enrichr--Queries(rank=1373); ARCHS4--Coexpression(rank=1531)","1436","0.592600000000000016","ReMap ChIP-seq,0.5926"
"MAFK","3.178089309363017811","3.178089309363017811","3.178089309363017811","Activated","26","viper","26","3.178089309363017811",NA,NA,"5","ENCODE--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=261); GTEx--Coexpression(rank=262); Enrichr--Queries(rank=399); ARCHS4--Coexpression(rank=1501)","609","0.163000000000000006","GTEx Coexpression,0.163"
"MAFB","3.055544538269047372","3.055544538269047372","3.055544538269047372","Activated","27","viper","27","3.055544538269047372",NA,NA,"4","Enrichr--Queries(rank=197); ReMap--ChIP-seq(rank=269); GTEx--Coexpression(rank=483); ARCHS4--Coexpression(rank=501)","534","0.140300000000000008","Enrichr Queries,0.1403"
"JUN","3.054501712250691003","3.054501712250691003","3.054501712250691003","Activated","28","viper","28","3.054501712250691003",NA,NA,"6","ENCODE--ChIP-seq(rank=64); Literature--ChIP-seq(rank=100); ReMap--ChIP-seq(rank=155); Enrichr--Queries(rank=582); ARCHS4--Coexpression(rank=704); GTEx--Coexpression(rank=759)","1211","0.414499999999999980","Enrichr Queries,0.4145"
"PDX1","3.019512334259794262","3.019512334259794262","3.019512334259794262","Activated","29","viper","29","3.019512334259794262",NA,NA,"5","Literature--ChIP-seq(rank=82); ARCHS4--Coexpression(rank=97); ReMap--ChIP-seq(rank=235); Enrichr--Queries(rank=736); GTEx--Coexpression(rank=1112)","237","0.059580000000000001","ARCHS4 Coexpression,0.05958"
"REST","-3.015224302831420289","-3.015224302831420289","3.015224302831420289","Repressed","30","viper","30","3.015224302831420289",NA,NA,"6","ENCODE--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=25); Literature--ChIP-seq(rank=54); GTEx--Coexpression(rank=109); ARCHS4--Coexpression(rank=187); Enrichr--Queries(rank=1197)","275","0.067830000000000001","GTEx Coexpression,0.06783"
"FOXA1","2.991990470138044866","2.991990470138044866","2.991990470138044866","Activated","31","viper","31","2.991990470138044866",NA,NA,"6","Literature--ChIP-seq(rank=35); ENCODE--ChIP-seq(rank=37); GTEx--Coexpression(rank=156); ReMap--ChIP-seq(rank=232); ARCHS4--Coexpression(rank=325); Enrichr--Queries(rank=329)","382","0.097080000000000000","GTEx Coexpression,0.09708"
"RFX1","2.961079040451947364","2.961079040451947364","2.961079040451947364","Activated","32","viper","32","2.961079040451947364",NA,NA,"4","ReMap--ChIP-seq(rank=31); GTEx--Coexpression(rank=1136); Enrichr--Queries(rank=1347); ARCHS4--Coexpression(rank=1470)","409","0.104400000000000007","ReMap ChIP-seq,0.1044"
"GRHL2","2.929822467246415929","2.929822467246415929","2.929822467246415929","Activated","33","viper","33","2.929822467246415929",NA,NA,"5","ReMap--ChIP-seq(rank=68); Literature--ChIP-seq(rank=160); GTEx--Coexpression(rank=267); ARCHS4--Coexpression(rank=305); Enrichr--Queries(rank=864)","623","0.166099999999999998","GTEx Coexpression,0.1661"
"MEIS1","2.898171828166252961","2.898171828166252961","2.898171828166252961","Activated","34","viper","34","2.898171828166252961",NA,NA,"5","Literature--ChIP-seq(rank=125); ReMap--ChIP-seq(rank=196); GTEx--Coexpression(rank=877); Enrichr--Queries(rank=1167); ARCHS4--Coexpression(rank=1232)","1390","0.545699999999999963","GTEx Coexpression,0.5457"
"RUNX2","2.847085101818903397","2.847085101818903397","2.847085101818903397","Activated","35","viper","35","2.847085101818903397",NA,NA,"5","Literature--ChIP-seq(rank=44); ReMap--ChIP-seq(rank=212); Enrichr--Queries(rank=499); ARCHS4--Coexpression(rank=697); GTEx--Coexpression(rank=1060)","916","0.268299999999999983","Literature ChIP-seq,0.2683"
"NFYB","-2.824052409054945922","-2.824052409054945922","2.824052409054945922","Repressed","36","viper","36","2.824052409054945922",NA,NA,"5","ENCODE--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=8); Enrichr--Queries(rank=60); ARCHS4--Coexpression(rank=104); GTEx--Coexpression(rank=847)","106","0.026939999999999999","ReMap ChIP-seq,0.02694"
"NR2C2","-2.816529453424263085","-2.816529453424263085","2.816529453424263085","Repressed","37","viper","37","2.816529453424263085",NA,NA,"5","ENCODE--ChIP-seq(rank=118); ReMap--ChIP-seq(rank=253); GTEx--Coexpression(rank=1151); Enrichr--Queries(rank=1401); ARCHS4--Coexpression(rank=1606)","1534","0.716199999999999837","GTEx Coexpression,0.7162"
"EHF","2.805527286916211782","2.805527286916211782","2.805527286916211782","Activated","38","viper","38","2.805527286916211782",NA,NA,"4","ARCHS4--Coexpression(rank=229); ReMap--ChIP-seq(rank=262); Enrichr--Queries(rank=366); GTEx--Coexpression(rank=751)","536","0.140699999999999992","ARCHS4 Coexpression,0.1407"
"HNF1B","2.785863199414444047","2.785863199414444047","2.785863199414444047","Activated","39","viper","39","2.785863199414444047",NA,NA,"3","ReMap--ChIP-seq(rank=217); ARCHS4--Coexpression(rank=411); Enrichr--Queries(rank=769)","873","0.252500000000000002","ARCHS4 Coexpression,0.2525"
"ASCL1","2.780436244040753735","2.780436244040753735","2.780436244040753735","Activated","40","viper","40","2.780436244040753735",NA,NA,"4","ReMap--ChIP-seq(rank=13); GTEx--Coexpression(rank=94); Enrichr--Queries(rank=568); ARCHS4--Coexpression(rank=1244)","173","0.043770000000000003","ReMap ChIP-seq,0.04377"
"MEIS2","2.771541658602569402","2.771541658602569402","2.771541658602569402","Activated","41","viper","41","2.771541658602569402",NA,NA,"4","ARCHS4--Coexpression(rank=180); ReMap--ChIP-seq(rank=189); GTEx--Coexpression(rank=470); Enrichr--Queries(rank=815)","431","0.110600000000000004","ARCHS4 Coexpression,0.1106"
"THAP11","2.742855567338701839","2.742855567338701839","2.742855567338701839","Activated","42","viper","42","2.742855567338701839",NA,NA,"5","ReMap--ChIP-seq(rank=148); Literature--ChIP-seq(rank=157); Enrichr--Queries(rank=839); ARCHS4--Coexpression(rank=1178); GTEx--Coexpression(rank=1509)","1330","0.498300000000000021","ReMap ChIP-seq,0.4983"
"POU4F2","2.702993243276561319","2.702993243276561319","2.702993243276561319","Activated","43","viper","43","2.702993243276561319",NA,NA,"4","ReMap--ChIP-seq(rank=129); ARCHS4--Coexpression(rank=166); Enrichr--Queries(rank=1360); GTEx--Coexpression(rank=1459)","400","0.101999999999999993","ARCHS4 Coexpression,0.102"
"RUNX1","2.683359187452819317","2.683359187452819317","2.683359187452819317","Activated","44","viper","44","2.683359187452819317",NA,NA,"5","Literature--ChIP-seq(rank=71); ReMap--ChIP-seq(rank=173); Enrichr--Queries(rank=417); GTEx--Coexpression(rank=880); ARCHS4--Coexpression(rank=1077)","996","0.296999999999999986","Enrichr Queries,0.297"
"MAFG","2.548208705708532751","2.548208705708532751","2.548208705708532751","Activated","45","viper","45","2.548208705708532751",NA,NA,"4","ReMap--ChIP-seq(rank=289); Enrichr--Queries(rank=740); GTEx--Coexpression(rank=826); ARCHS4--Coexpression(rank=1384)","1352","0.514000000000000012","GTEx Coexpression,0.514"
"RFX2","2.546390442376116781","2.546390442376116781","2.546390442376116781","Activated","46","viper","46","2.546390442376116781",NA,NA,"4","ReMap--ChIP-seq(rank=26); ARCHS4--Coexpression(rank=117); Enrichr--Queries(rank=314); GTEx--Coexpression(rank=1445)","289","0.071870000000000003","ARCHS4 Coexpression,0.07187"
"STAT4","2.545886290851282929","2.545886290851282929","2.545886290851282929","Activated","47","viper","47","2.545886290851282929",NA,NA,"4","Literature--ChIP-seq(rank=55); Enrichr--Queries(rank=622); ARCHS4--Coexpression(rank=995); GTEx--Coexpression(rank=1078)","1072","0.335399999999999920","Literature ChIP-seq,0.3354"
"MYBL2","-2.541892523021032524","-2.541892523021032524","2.541892523021032524","Repressed","48","viper","48","2.541892523021032524",NA,NA,"6","Enrichr--Queries(rank=2); ARCHS4--Coexpression(rank=6); Literature--ChIP-seq(rank=7); GTEx--Coexpression(rank=13); ENCODE--ChIP-seq(rank=74); ReMap--ChIP-seq(rank=124)","5","0.001425000000000000","Enrichr Queries,0.001425"
"SPI1","2.516577778767458806","2.516577778767458806","2.516577778767458806","Activated","49","viper","49","2.516577778767458806",NA,NA,"6","Literature--ChIP-seq(rank=95); ENCODE--ChIP-seq(rank=96); ReMap--ChIP-seq(rank=179); ARCHS4--Coexpression(rank=820); Enrichr--Queries(rank=911); GTEx--Coexpression(rank=1105)","1336","0.503700000000000037","ARCHS4 Coexpression,0.5037"
"IKZF1","2.512903749444270751","2.512903749444270751","2.512903749444270751","Activated","50","viper","50","2.512903749444270751",NA,NA,"6","ENCODE--ChIP-seq(rank=77); Literature--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=99); ARCHS4--Coexpression(rank=191); GTEx--Coexpression(rank=744); Enrichr--Queries(rank=938)","453","0.117300000000000001","ARCHS4 Coexpression,0.1173"
"ARID2","-2.494075972059270008","-2.494075972059270008","2.494075972059270008","Repressed","51","viper","51","2.494075972059270008",NA,NA,"4","ReMap--ChIP-seq(rank=143); GTEx--Coexpression(rank=936); ARCHS4--Coexpression(rank=1003); Enrichr--Queries(rank=1387)","1313","0.481499999999999984","ReMap ChIP-seq,0.4815"
"ESR1","2.488579169178457118","2.488579169178457118","2.488579169178457118","Activated","52","viper","52","2.488579169178457118",NA,NA,"6","Literature--ChIP-seq(rank=18); ENCODE--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=107); ARCHS4--Coexpression(rank=295); Enrichr--Queries(rank=423); GTEx--Coexpression(rank=894)","428","0.109799999999999995","Literature ChIP-seq,0.1098"
"ESR2","2.460540028486349673","2.460540028486349673","2.460540028486349673","Activated","53","viper","53","2.460540028486349673",NA,NA,"5","Literature--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=127); Enrichr--Queries(rank=505); GTEx--Coexpression(rank=801); ARCHS4--Coexpression(rank=1390)","324","0.079269999999999993","Literature ChIP-seq,0.07927"
"TEAD4","2.427822244522806816","2.427822244522806816","2.427822244522806816","Activated","54","viper","54","2.427822244522806816",NA,NA,"6","ENCODE--ChIP-seq(rank=32); Enrichr--Queries(rank=49); Literature--ChIP-seq(rank=67); ARCHS4--Coexpression(rank=161); ReMap--ChIP-seq(rank=184); GTEx--Coexpression(rank=1176)","137","0.034900000000000000","Enrichr Queries,0.0349"
"SP2","-2.425486085845593109","-2.425486085845593109","2.425486085845593109","Repressed","55","viper","55","2.425486085845593109",NA,NA,"5","ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=27); GTEx--Coexpression(rank=867); ARCHS4--Coexpression(rank=948); Enrichr--Queries(rank=1210)","358","0.090910000000000005","ReMap ChIP-seq,0.09091"
"NANOG","2.409764377211632169","2.409764377211632169","2.409764377211632169","Activated","56","viper","56","2.409764377211632169",NA,NA,"6","Literature--ChIP-seq(rank=43); ENCODE--ChIP-seq(rank=81); ReMap--ChIP-seq(rank=190); GTEx--Coexpression(rank=224); ARCHS4--Coexpression(rank=462); Enrichr--Queries(rank=625)","529","0.139399999999999996","GTEx Coexpression,0.1394"
"IRF4","2.386789996238328104","2.386789996238328104","2.386789996238328104","Activated","57","viper","57","2.386789996238328104",NA,NA,"5","GTEx--Coexpression(rank=45); ENCODE--ChIP-seq(rank=114); ReMap--ChIP-seq(rank=180); ARCHS4--Coexpression(rank=824); Enrichr--Queries(rank=837)","110","0.028000000000000001","GTEx Coexpression,0.028"
"NFYA","-2.386069276670244488","-2.386069276670244488","2.386069276670244488","Repressed","58","viper","58","2.386069276670244488",NA,NA,"5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=21); GTEx--Coexpression(rank=580); Enrichr--Queries(rank=590); ARCHS4--Coexpression(rank=1038)","98","0.025420000000000002","ENCODE ChIP-seq,0.02542"
"TFAP4","2.358440469311388288","2.358440469311388288","2.358440469311388288","Activated","59","viper","59","2.358440469311388288",NA,NA,"4","Enrichr--Queries(rank=40); ReMap--ChIP-seq(rank=72); ARCHS4--Coexpression(rank=567); GTEx--Coexpression(rank=624)","112","0.028490000000000001","Enrichr Queries,0.02849"
"ELF3","2.326599261846017175","2.326599261846017175","2.326599261846017175","Activated","60","viper","60","2.326599261846017175",NA,NA,"4","ReMap--ChIP-seq(rank=51); ARCHS4--Coexpression(rank=79); GTEx--Coexpression(rank=195); Enrichr--Queries(rank=202)","191","0.048529999999999997","ARCHS4 Coexpression,0.04853"
"TP63","2.317174665598775718","2.317174665598775718","2.317174665598775718","Activated","61","viper","61","2.317174665598775718",NA,NA,"5","Literature--ChIP-seq(rank=66); ReMap--ChIP-seq(rank=117); GTEx--Coexpression(rank=215); Enrichr--Queries(rank=504); ARCHS4--Coexpression(rank=784)","504","0.133800000000000002","GTEx Coexpression,0.1338"
"RBPJ","2.313961697033578346","2.313961697033578346","2.313961697033578346","Activated","62","viper","62","2.313961697033578346",NA,NA,"5","Literature--ChIP-seq(rank=144); ReMap--ChIP-seq(rank=215); Enrichr--Queries(rank=706); ARCHS4--Coexpression(rank=1291); GTEx--Coexpression(rank=1506)","1334","0.502800000000000025","Enrichr Queries,0.5028"
"STAT1","2.306216303835068260","2.306216303835068260","2.306216303835068260","Activated","63","viper","63","2.306216303835068260",NA,NA,"6","GTEx--Coexpression(rank=26); ENCODE--ChIP-seq(rank=72); ReMap--ChIP-seq(rank=83); Literature--ChIP-seq(rank=127); ARCHS4--Coexpression(rank=387); Enrichr--Queries(rank=418)","57","0.016180000000000000","GTEx Coexpression,0.01618"
"MYCN","-2.305590315195423567","-2.305590315195423567","2.305590315195423567","Repressed","64","viper","64","2.305590315195423567",NA,NA,"5","Literature--ChIP-seq(rank=8); ARCHS4--Coexpression(rank=38); ReMap--ChIP-seq(rank=84); Enrichr--Queries(rank=132); GTEx--Coexpression(rank=698)","88","0.023340000000000000","ARCHS4 Coexpression,0.02334"
"HNF1A","2.291814123326865626","2.291814123326865626","2.291814123326865626","Activated","65","viper","65","2.291814123326865626",NA,NA,"3","GTEx--Coexpression(rank=128); ARCHS4--Coexpression(rank=230); Enrichr--Queries(rank=332)","325","0.079649999999999999","GTEx Coexpression,0.07965"
"POU2F1","2.280222073249801529","2.280222073249801529","2.280222073249801529","Activated","66","viper","66","2.280222073249801529",NA,NA,"4","ReMap--ChIP-seq(rank=265); ARCHS4--Coexpression(rank=349); GTEx--Coexpression(rank=782); Enrichr--Queries(rank=1156)","765","0.214400000000000007","ARCHS4 Coexpression,0.2144"
"PBX3","2.251095638583022307","2.251095638583022307","2.251095638583022307","Activated","67","viper","67","2.251095638583022307",NA,NA,"5","ENCODE--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=147); ARCHS4--Coexpression(rank=282); GTEx--Coexpression(rank=525); Enrichr--Queries(rank=580)","644","0.173199999999999993","ARCHS4 Coexpression,0.1732"
"KLF4","2.214632184315000973","2.214632184315000973","2.214632184315000973","Activated","68","viper","68","2.214632184315000973",NA,NA,"5","Literature--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=30); ARCHS4--Coexpression(rank=236); GTEx--Coexpression(rank=403); Enrichr--Queries(rank=436)","395","0.101000000000000006","ReMap ChIP-seq,0.101"
"ATF2","2.186491646679243672","2.186491646679243672","2.186491646679243672","Activated","69","viper","69","2.186491646679243672",NA,NA,"5","ENCODE--ChIP-seq(rank=111); ReMap--ChIP-seq(rank=197); ARCHS4--Coexpression(rank=1227); Enrichr--Queries(rank=1391); GTEx--Coexpression(rank=1403)","1506","0.663300000000000001","ReMap ChIP-seq,0.6633"
"TFAP2C","2.177527990980961725","2.177527990980961725","2.177527990980961725","Activated","70","viper","70","2.177527990980961725",NA,NA,"6","ReMap--ChIP-seq(rank=18); Literature--ChIP-seq(rank=26); ENCODE--ChIP-seq(rank=76); GTEx--Coexpression(rank=332); ARCHS4--Coexpression(rank=572); Enrichr--Queries(rank=615)","242","0.060609999999999997","ReMap ChIP-seq,0.06061"
"ETV1","2.172836602404598860","2.172836602404598860","2.172836602404598860","Activated","71","viper","71","2.172836602404598860",NA,NA,"4","ReMap--ChIP-seq(rank=140); ARCHS4--Coexpression(rank=454); Enrichr--Queries(rank=511); GTEx--Coexpression(rank=531)","943","0.278899999999999981","ARCHS4 Coexpression,0.2789"
"NFE2","2.165574710472910169","2.165574710472910169","2.165574710472910169","Activated","72","viper","72","2.165574710472910169",NA,NA,"5","ENCODE--ChIP-seq(rank=79); ReMap--ChIP-seq(rank=111); Enrichr--Queries(rank=269); ARCHS4--Coexpression(rank=730); GTEx--Coexpression(rank=1188)","699","0.191599999999999993","Enrichr Queries,0.1916"
"NCOA3","-2.148062002568515538","-2.148062002568515538","2.148062002568515538","Repressed","73","viper","73","2.148062002568515538",NA,NA,"4","GTEx--Coexpression(rank=126); ReMap--ChIP-seq(rank=249); Enrichr--Queries(rank=772); ARCHS4--Coexpression(rank=938)","319","0.078409999999999994","GTEx Coexpression,0.07841"
"TCF4","2.080474440371690381","2.080474440371690381","2.080474440371690381","Activated","74","viper","74","2.080474440371690381",NA,NA,"5","ReMap--ChIP-seq(rank=75); Literature--ChIP-seq(rank=101); ARCHS4--Coexpression(rank=894); Enrichr--Queries(rank=955); GTEx--Coexpression(rank=1257)","874","0.252500000000000002","ReMap ChIP-seq,0.2525"
"FOXO1","2.069726732248336809","2.069726732248336809","2.069726732248336809","Activated","75","viper","75","2.069726732248336809",NA,NA,"5","Literature--ChIP-seq(rank=80); ReMap--ChIP-seq(rank=182); ARCHS4--Coexpression(rank=296); Enrichr--Queries(rank=424); GTEx--Coexpression(rank=966)","673","0.181799999999999989","ARCHS4 Coexpression,0.1818"
"SIX2","2.068823684906739402","2.068823684906739402","2.068823684906739402","Activated","76","viper","76","2.068823684906739402",NA,NA,"4","ReMap--ChIP-seq(rank=252); ARCHS4--Coexpression(rank=294); Enrichr--Queries(rank=986); GTEx--Coexpression(rank=1208)","670","0.180600000000000011","ARCHS4 Coexpression,0.1806"
"SOX13","2.057431509748243403","2.057431509748243403","2.057431509748243403","Activated","77","viper","77","2.057431509748243403",NA,NA,"4","ReMap--ChIP-seq(rank=211); ARCHS4--Coexpression(rank=306); Enrichr--Queries(rank=360); GTEx--Coexpression(rank=427)","691","0.188000000000000000","ARCHS4 Coexpression,0.188"
"IRF1","2.017382905244742730","2.017382905244742730","2.017382905244742730","Activated","78","viper","78","2.017382905244742730",NA,NA,"6","ReMap--ChIP-seq(rank=53); ENCODE--ChIP-seq(rank=71); Literature--ChIP-seq(rank=117); ARCHS4--Coexpression(rank=368); Enrichr--Queries(rank=487); GTEx--Coexpression(rank=628)","664","0.178499999999999992","ReMap ChIP-seq,0.1785"
