Pathway,PROTEIN EXPORT,VEGF SIGNALING PATHWAY,MAPK SIGNALING PATHWAY,FC EPSILON RI SIGNALING PATHWAY,ERBB SIGNALING PATHWAY,CHRONIC MYELOID LEUKEMIA,AXON GUIDANCE,RIBOSOME,HEDGEHOG SIGNALING PATHWAY,BASAL CELL CARCINOMA,AUTOIMMUNE THYROID DISEASE,ALLOGRAFT REJECTION,GRAFT VERSUS HOST DISEASE,TYPE I DIABETES MELLITUS,CELL ADHESION MOLECULES CAMS,ASTHMA,LEISHMANIA INFECTION,OXIDATIVE PHOSPHORYLATION,PARKINSONS DISEASE,CITRATE CYCLE TCA CYCLE,NEUROACTIVE LIGAND RECEPTOR INTERACTION,ENDOCYTOSIS,SPLICEOSOME,RNA DEGRADATION,UBIQUITIN MEDIATED PROTEOLYSIS,CELL CYCLE,CYTOKINE CYTOKINE RECEPTOR INTERACTION,RIG I LIKE RECEPTOR SIGNALING PATHWAY,"GLYCOSAMINOGLYCAN BIOSYNTHESIS CHONDROITIN
SULFATE",NOTCH SIGNALING PATHWAY,BASAL TRANSCRIPTION FACTORS,CIRCADIAN RHYTHM MAMMAL,SNARE INTERACTIONS IN VESICULAR TRANSPORT
AUTOIMMUNE THYROID DISEASE,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6346153846153846,0.5384615384615384,0.5384615384615384,0.5,0.36538461538461536,0.3076923076923077,0.0,0.0,0.0,0.057692307692307696,0.11538461538461539,0.0,0.0,0.0,0.0,0.4230769230769231,0.25,0.0,0.0,0.0,0.0,0.0
ALLOGRAFT REJECTION,0.0,0.0,0.08108108108108109,0.08108108108108109,0.0,0.0,0.0,0.0,0.0,0.0,0.8918918918918919,1.0,0.8108108108108109,0.8648648648648649,0.6756756756756757,0.5405405405405406,0.5405405405405406,0.0,0.0,0.0,0.0,0.16216216216216217,0.0,0.0,0.0,0.0,0.32432432432432434,0.08108108108108109,0.0,0.0,0.0,0.0,0.0
GRAFT VERSUS HOST DISEASE,0.0,0.0,0.12195121951219512,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.6829268292682927,0.7317073170731707,1.0,0.7804878048780488,0.5609756097560976,0.36585365853658536,0.43902439024390244,0.0,0.0,0.0,0.0,0.14634146341463414,0.0,0.0,0.0,0.0,0.1951219512195122,0.024390243902439025,0.0,0.0,0.0,0.0,0.0
TYPE I DIABETES MELLITUS,0.0,0.0,0.11627906976744186,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.6511627906976745,0.7441860465116279,0.7441860465116279,1.0,0.5348837209302325,0.3488372093023256,0.46511627906976744,0.0,0.0,0.0,0.0,0.13953488372093023,0.0,0.023255813953488372,0.0,0.0,0.23255813953488372,0.06976744186046512,0.0,0.0,0.0,0.0,0.0
CELL ADHESION MOLECULES CAMS,0.0,0.0,0.0,0.0,0.0,0.0,0.015037593984962405,0.0,0.0,0.0,0.19548872180451127,0.18796992481203006,0.17293233082706766,0.17293233082706766,1.0,0.12030075187969924,0.13533834586466165,0.0,0.0,0.0,0.0,0.045112781954887216,0.0,0.0,0.0,0.0,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0
ASTHMA,0.0,0.0,0.03333333333333333,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6333333333333333,0.6666666666666666,0.5,0.5,0.5333333333333333,1.0,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0
LEISHMANIA INFECTION,0.0,0.1111111111111111,0.3055555555555556,0.125,0.06944444444444445,0.1111111111111111,0.041666666666666664,0.0,0.0,0.0,0.2222222222222222,0.2777777777777778,0.25,0.2777777777777778,0.25,0.2361111111111111,1.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.013888888888888888,0.041666666666666664,0.18055555555555555,0.18055555555555555,0.0,0.0,0.0,0.0,0.0
OXIDATIVE PHOSPHORYLATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7142857142857143,0.03759398496240601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARKINSONS DISEASE,0.0,0.007633587786259542,0.007633587786259542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7251908396946565,1.0,0.03816793893129771,0.0,0.0,0.0,0.0,0.06870229007633588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITRATE CYCLE TCA CYCLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15625,0.15625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEUROACTIVE LIGAND RECEPTOR INTERACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011029411764705883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01838235294117647,0.0,0.0,0.0,0.0,0.025735294117647058,0.0,0.0,0.0,0.0,0.0,0.0
ENDOCYTOSIS,0.0,0.022099447513812154,0.09944751381215469,0.0055248618784530384,0.049723756906077346,0.027624309392265192,0.022099447513812154,0.0,0.0,0.0,0.03314917127071823,0.03314917127071823,0.03314917127071823,0.03314917127071823,0.03314917127071823,0.0,0.0055248618784530384,0.0,0.0,0.0,0.027624309392265192,1.0,0.03314917127071823,0.0,0.06077348066298342,0.0055248618784530384,0.08287292817679558,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0
SPLICEOSOME,0.0,0.0,0.047244094488188976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047244094488188976,1.0,0.05511811023622047,0.007874015748031496,0.0,0.0,0.0,0.0,0.007874015748031496,0.0,0.0,0.0
RNA DEGRADATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11864406779661017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBIQUITIN MEDIATED PROTEOLYSIS,0.0,0.0,0.014814814814814815,0.0,0.022222222222222223,0.02962962962962963,0.0,0.0,0.014814814814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007407407407407408,0.0,0.06666666666666667,0.0,0.0,0.08148148148148149,0.007407407407407408,0.0,1.0,0.14814814814814814,0.0,0.014814814814814815,0.0,0.0,0.0,0.0,0.0
CELL CYCLE,0.0,0.0,0.072,0.0,0.04,0.168,0.016,0.0,0.008,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.16,1.0,0.024,0.0,0.0,0.032,0.0,0.0,0.0
CYTOKINE CYTOKINE RECEPTOR INTERACTION,0.0,0.007575757575757576,0.07196969696969698,0.022727272727272728,0.007575757575757576,0.01893939393939394,0.011363636363636364,0.0,0.007575757575757576,0.003787878787878788,0.08333333333333333,0.045454545454545456,0.030303030303030304,0.03787878787878788,0.007575757575757576,0.03787878787878788,0.04924242424242424,0.0,0.0,0.0,0.026515151515151516,0.056818181818181816,0.0,0.0,0.0,0.011363636363636364,1.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
RIG I LIKE RECEPTOR SIGNALING PATHWAY,0.0,0.056338028169014086,0.23943661971830985,0.11267605633802817,0.04225352112676056,0.08450704225352113,0.0,0.0,0.0,0.0,0.18309859154929578,0.04225352112676056,0.014084507042253521,0.04225352112676056,0.0,0.014084507042253521,0.18309859154929578,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.028169014084507043,0.0,0.30985915492957744,1.0,0.0,0.0,0.0,0.0,0.0
"GLYCOSAMINOGLYCAN BIOSYNTHESIS CHONDROITIN
SULFATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NOTCH SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0851063829787234,0.0,0.0,0.0,0.06382978723404255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0851063829787234,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BASAL TRANSCRIPTION FACTORS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CIRCADIAN RHYTHM MAMMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SNARE INTERACTIONS IN VESICULAR TRANSPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
