Pathway,SPLICEOSOME,ENDOCYTOSIS,FOCAL ADHESION,ECM RECEPTOR INTERACTION,PATHWAYS IN CANCER,SMALL CELL LUNG CANCER,REGULATION OF ACTIN CYTOSKELETON,ADHERENS JUNCTION,TIGHT JUNCTION,LEUKOCYTE TRANSENDOTHELIAL MIGRATION,AXON GUIDANCE,LYSOSOME,VIBRIO CHOLERAE INFECTION,HOMOLOGOUS RECOMBINATION,MISMATCH REPAIR,COMPLEMENT AND COAGULATION CASCADES,PRION DISEASES,INOSITOL PHOSPHATE METABOLISM,PHOSPHATIDYLINOSITOL SIGNALING SYSTEM,CALCIUM SIGNALING PATHWAY,LONG TERM POTENTIATION,VASCULAR SMOOTH MUSCLE CONTRACTION,MELANOGENESIS,INSULIN SIGNALING PATHWAY,GLIOMA,ERBB SIGNALING PATHWAY,VEGF SIGNALING PATHWAY,CHEMOKINE SIGNALING PATHWAY,CYTOKINE CYTOKINE RECEPTOR INTERACTION,JAK STAT SIGNALING PATHWAY,HEMATOPOIETIC CELL LINEAGE,DILATED CARDIOMYOPATHY,HYPERTROPHIC CARDIOMYOPATHY HCM,"ARRHYTHMOGENIC RIGHT VENTRICULAR
CARDIOMYOPATHY ARVC",CARDIAC MUSCLE CONTRACTION,PROTEASOME,HISTIDINE METABOLISM,TYROSINE METABOLISM,"GLYCOSAMINOGLYCAN BIOSYNTHESIS CHONDROITIN
SULFATE",N GLYCAN BIOSYNTHESIS
AXON GUIDANCE,0.0,0.031007751937984496,0.16279069767441862,0.007751937984496124,0.12403100775193798,0.015503875968992248,0.1937984496124031,0.06976744186046512,0.06201550387596899,0.10077519379844961,1.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.05426356589147287,0.09302325581395349,0.046511627906976744,0.06976744186046512,0.046511627906976744,0.03875968992248062,0.12403100775193798,0.17054263565891473,0.14728682170542637,0.023255813953488372,0.0,0.0,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.0
LYSOSOME,0.0,0.03305785123966942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIBRIO CHOLERAE INFECTION,0.0,0.0,0.09259259259259259,0.0,0.09259259259259259,0.0,0.037037037037037035,0.05555555555555555,0.12962962962962962,0.12962962962962962,0.0,0.18518518518518517,1.0,0.0,0.0,0.0,0.07407407407407407,0.037037037037037035,0.09259259259259259,0.2222222222222222,0.12962962962962962,0.18518518518518517,0.18518518518518517,0.07407407407407407,0.09259259259259259,0.09259259259259259,0.09259259259259259,0.12962962962962962,0.0,0.0,0.0,0.16666666666666666,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0
HOMOLOGOUS RECOMBINATION,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.32142857142857145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0
MISMATCH REPAIR,0.0,0.0,0.0,0.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.391304347826087,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMPLEMENT AND COAGULATION CASCADES,0.0,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.0,0.0,0.057971014492753624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14492753623188406,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057971014492753624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRION DISEASES,0.02857142857142857,0.02857142857142857,0.17142857142857143,0.02857142857142857,0.2,0.02857142857142857,0.11428571428571428,0.08571428571428572,0.0,0.0,0.08571428571428572,0.0,0.11428571428571428,0.0,0.0,0.2857142857142857,1.0,0.0,0.0,0.11428571428571428,0.22857142857142856,0.22857142857142856,0.22857142857142856,0.2571428571428571,0.11428571428571428,0.14285714285714285,0.11428571428571428,0.22857142857142856,0.11428571428571428,0.02857142857142857,0.08571428571428572,0.11428571428571428,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INOSITOL PHOSPHATE METABOLISM,0.0,0.09259259259259259,0.1111111111111111,0.0,0.12962962962962962,0.09259259259259259,0.2037037037037037,0.0,0.018518518518518517,0.1111111111111111,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.24074074074074073,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.09259259259259259,0.12962962962962962,0.1111111111111111,0.1111111111111111,0.14814814814814814,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHOSPHATIDYLINOSITOL SIGNALING SYSTEM,0.0,0.06578947368421052,0.17105263157894737,0.0,0.18421052631578946,0.11842105263157894,0.19736842105263158,0.0,0.05263157894736842,0.17105263157894737,0.0,0.0,0.06578947368421052,0.0,0.0,0.0,0.0,0.631578947368421,1.0,0.32894736842105265,0.21052631578947367,0.21052631578947367,0.17105263157894737,0.21052631578947367,0.2631578947368421,0.17105263157894737,0.17105263157894737,0.17105263157894737,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALCIUM SIGNALING PATHWAY,0.0,0.0449438202247191,0.056179775280898875,0.0,0.056179775280898875,0.0056179775280898875,0.07303370786516854,0.011235955056179775,0.016853932584269662,0.033707865168539325,0.03932584269662921,0.0,0.06741573033707865,0.0,0.0,0.016853932584269662,0.02247191011235955,0.07303370786516854,0.1404494382022472,1.0,0.23595505617977527,0.25842696629213485,0.17415730337078653,0.08426966292134831,0.10112359550561797,0.07303370786516854,0.08426966292134831,0.09550561797752809,0.016853932584269662,0.0,0.0056179775280898875,0.12359550561797752,0.0449438202247191,0.03932584269662921,0.0449438202247191,0.0,0.0,0.0,0.0,0.0
LONG TERM POTENTIATION,0.0,0.014285714285714285,0.21428571428571427,0.0,0.21428571428571427,0.0,0.2,0.05714285714285714,0.08571428571428572,0.08571428571428572,0.17142857142857143,0.0,0.1,0.0,0.0,0.0,0.11428571428571428,0.05714285714285714,0.22857142857142856,0.6,1.0,0.5,0.4857142857142857,0.32857142857142857,0.32857142857142857,0.24285714285714285,0.2571428571428571,0.3,0.0,0.02857142857142857,0.0,0.1,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0,0.0,0.0
VASCULAR SMOOTH MUSCLE CONTRACTION,0.0,0.0,0.16521739130434782,0.0,0.09565217391304348,0.0,0.19130434782608696,0.02608695652173913,0.08695652173913043,0.06086956521739131,0.05217391304347826,0.0,0.08695652173913043,0.0,0.0,0.0,0.06956521739130435,0.034782608695652174,0.1391304347826087,0.4,0.30434782608695654,1.0,0.28695652173913044,0.17391304347826086,0.1391304347826087,0.08695652173913043,0.20869565217391303,0.23478260869565218,0.0,0.0,0.0,0.1565217391304348,0.034782608695652174,0.034782608695652174,0.034782608695652174,0.0,0.0,0.0,0.0,0.0
MELANOGENESIS,0.0,0.019801980198019802,0.09900990099009901,0.0,0.5346534653465347,0.0,0.07920792079207921,0.0891089108910891,0.09900990099009901,0.06930693069306931,0.0891089108910891,0.0,0.09900990099009901,0.0,0.0,0.0,0.07920792079207921,0.039603960396039604,0.12871287128712872,0.3069306930693069,0.33663366336633666,0.32673267326732675,1.0,0.18811881188118812,0.2079207920792079,0.15841584158415842,0.10891089108910891,0.2871287128712871,0.019801980198019802,0.019801980198019802,0.019801980198019802,0.13861386138613863,0.0,0.04950495049504951,0.0,0.0,0.0,0.0297029702970297,0.0,0.0
INSULIN SIGNALING PATHWAY,0.0,0.043795620437956206,0.27007299270072993,0.0,0.27007299270072993,0.08759124087591241,0.1897810218978102,0.043795620437956206,0.058394160583941604,0.058394160583941604,0.043795620437956206,0.0,0.029197080291970802,0.0,0.0,0.0,0.06569343065693431,0.0364963503649635,0.11678832116788321,0.10948905109489052,0.1678832116788321,0.145985401459854,0.1386861313868613,1.0,0.25547445255474455,0.31386861313868614,0.15328467153284672,0.25547445255474455,0.0,0.15328467153284672,0.0,0.029197080291970802,0.051094890510948905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLIOMA,0.0,0.09230769230769231,0.5692307692307692,0.0,0.7846153846153846,0.3076923076923077,0.4,0.06153846153846154,0.16923076923076924,0.2,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.06153846153846154,0.1076923076923077,0.3076923076923077,0.27692307692307694,0.35384615384615387,0.24615384615384617,0.3230769230769231,0.5384615384615384,1.0,0.6461538461538462,0.38461538461538464,0.4153846153846154,0.09230769230769231,0.23076923076923078,0.0,0.015384615384615385,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERBB SIGNALING PATHWAY,0.0,0.10344827586206896,0.5402298850574713,0.0,0.5977011494252874,0.16091954022988506,0.3563218390804598,0.05747126436781609,0.11494252873563218,0.16091954022988506,0.1839080459770115,0.0,0.05747126436781609,0.0,0.0,0.0,0.05747126436781609,0.06896551724137931,0.14942528735632185,0.14942528735632185,0.19540229885057472,0.11494252873563218,0.1839080459770115,0.4942528735632184,0.4827586206896552,1.0,0.3218390804597701,0.3793103448275862,0.022988505747126436,0.22988505747126436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VEGF SIGNALING PATHWAY,0.0,0.05263157894736842,0.39473684210526316,0.0,0.4342105263157895,0.18421052631578946,0.2894736842105263,0.09210526315789473,0.14473684210526316,0.2894736842105263,0.2894736842105263,0.0,0.06578947368421052,0.0,0.0,0.0,0.05263157894736842,0.07894736842105263,0.17105263157894737,0.19736842105263158,0.23684210526315788,0.3157894736842105,0.14473684210526316,0.27631578947368424,0.32894736842105265,0.3684210526315789,1.0,0.32894736842105265,0.02631578947368421,0.14473684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMOKINE SIGNALING PATHWAY,0.0,0.09042553191489362,0.22872340425531915,0.0,0.21808510638297873,0.09574468085106383,0.2074468085106383,0.047872340425531915,0.0797872340425532,0.16489361702127658,0.10106382978723404,0.0,0.03723404255319149,0.0,0.0,0.0,0.0425531914893617,0.0425531914893617,0.06914893617021277,0.09042553191489362,0.11170212765957446,0.14361702127659576,0.15425531914893617,0.18617021276595744,0.14361702127659576,0.17553191489361702,0.13297872340425532,1.0,0.3404255319148936,0.10638297872340426,0.0,0.06914893617021277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYTOKINE CYTOKINE RECEPTOR INTERACTION,0.0,0.056818181818181816,0.06060606060606061,0.0,0.10984848484848485,0.0,0.026515151515151516,0.015151515151515152,0.0,0.007575757575757576,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.011363636363636364,0.0,0.0,0.007575757575757576,0.0,0.022727272727272728,0.007575757575757576,0.007575757575757576,0.24242424242424243,1.0,0.35984848484848486,0.12121212121212122,0.015151515151515152,0.01893939393939394,0.0,0.0,0.003787878787878788,0.0,0.003787878787878788,0.0,0.0
JAK STAT SIGNALING PATHWAY,0.0,0.05161290322580645,0.10967741935483871,0.0,0.21935483870967742,0.11612903225806452,0.06451612903225806,0.01935483870967742,0.01935483870967742,0.05806451612903226,0.0,0.0,0.0,0.0,0.0,0.0,0.0064516129032258064,0.025806451612903226,0.05161290322580645,0.0,0.012903225806451613,0.0,0.012903225806451613,0.13548387096774195,0.0967741935483871,0.12903225806451613,0.07096774193548387,0.12903225806451613,0.6129032258064516,1.0,0.13548387096774195,0.0,0.0064516129032258064,0.0,0.0,0.0064516129032258064,0.0,0.0064516129032258064,0.0,0.0
HEMATOPOIETIC CELL LINEAGE,0.0,0.04597701149425287,0.09195402298850575,0.16091954022988506,0.13793103448275862,0.04597701149425287,0.11494252873563218,0.0,0.0,0.022988505747126436,0.0,0.0,0.0,0.0,0.0,0.04597701149425287,0.034482758620689655,0.0,0.0,0.011494252873563218,0.0,0.0,0.022988505747126436,0.0,0.0,0.0,0.0,0.0,0.367816091954023,0.2413793103448276,1.0,0.10344827586206896,0.11494252873563218,0.09195402298850575,0.0,0.0,0.0,0.011494252873563218,0.0,0.0
DILATED CARDIOMYOPATHY,0.0,0.011111111111111112,0.2777777777777778,0.24444444444444444,0.13333333333333333,0.07777777777777778,0.25555555555555554,0.022222222222222223,0.05555555555555555,0.05555555555555555,0.011111111111111112,0.0,0.1,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.24444444444444444,0.07777777777777778,0.2,0.15555555555555556,0.044444444444444446,0.011111111111111112,0.0,0.0,0.14444444444444443,0.044444444444444446,0.0,0.1,1.0,0.8222222222222222,0.6111111111111112,0.3888888888888889,0.0,0.0,0.0,0.0,0.0
HYPERTROPHIC CARDIOMYOPATHY HCM,0.0,0.0,0.30120481927710846,0.26506024096385544,0.1566265060240964,0.08433734939759036,0.27710843373493976,0.024096385542168676,0.060240963855421686,0.060240963855421686,0.012048192771084338,0.0,0.024096385542168676,0.0,0.0,0.0,0.012048192771084338,0.0,0.0,0.0963855421686747,0.012048192771084338,0.04819277108433735,0.0,0.08433734939759036,0.012048192771084338,0.0,0.0,0.0,0.060240963855421686,0.012048192771084338,0.12048192771084337,0.891566265060241,1.0,0.6626506024096386,0.42168674698795183,0.0,0.0,0.0,0.0,0.0
"ARRHYTHMOGENIC RIGHT VENTRICULAR
CARDIOMYOPATHY ARVC",0.0,0.0,0.3783783783783784,0.2972972972972973,0.21621621621621623,0.0945945945945946,0.35135135135135137,0.1891891891891892,0.13513513513513514,0.16216216216216217,0.013513513513513514,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0945945945945946,0.013513513513513514,0.05405405405405406,0.06756756756756757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10810810810810811,0.7432432432432432,0.7432432432432432,1.0,0.3108108108108108,0.0,0.0,0.0,0.0,0.0
CARDIAC MUSCLE CONTRACTION,0.0,0.0,0.012658227848101266,0.0,0.012658227848101266,0.0,0.02531645569620253,0.0,0.0379746835443038,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10126582278481013,0.012658227848101266,0.05063291139240506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4430379746835443,0.4430379746835443,0.2911392405063291,1.0,0.0,0.0,0.0,0.0,0.0
PROTEASOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
HISTIDINE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4827586206896552,0.0,0.0
TYROSINE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0
"GLYCOSAMINOGLYCAN BIOSYNTHESIS CHONDROITIN
SULFATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
N GLYCAN BIOSYNTHESIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
